  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,     days_Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,  ORGANIC_BASE,ORGANIC_MEOH_AMPL, ORGANIC_SLOPE,ORGANIC_CH4CONC,ORGANIC_C2H6CONC,ORGANIC_CM_SHIFT, ORGANIC_STDEV,     ORGANIC_Y,    ORGANIC_77,    ORGANIC_82,ORGANIC_SPLINEMAX,ORGANIC_SQUISH,     GALPEAK77,     GALPEAK82,   H2O_Y_EFF_A, STANDARD_BASE,  GALPEAK77_SD,  GALPEAK82_SD,STANDARD_BASE_Sl,STANDARD_STDEV,     SPLINEMAX,SPLINEMAX_STDEV,      Tray,  Sample,     Job,    Method
    48,    P-1337,   2010/06/05 00:22:59,           1-06,       8,       -24.642,      -435.416,         19348,       0,    1,                                      E3,                                    EtOH,                 H2O,     155.02301,         0.827,         4.299,            87,        -0.063,         0.410,         16.23,    2253.36090,       0.00038,     -72.39052,      -0.00104,       0.00000,       0.00000,       5.20389,       1.03232,     -13.89870,     -35.09761,    2706.55608,       0.26950,     -21.05309,     -51.02342,       1.07314,    2269.08054,       4.22959,       0.63325,       0.09141,      11.19957,    2716.35648,      12.28246,  MT1-Rear,       6,      29,  5ulnoRns
    49,    P-1338,   2010/06/05 00:32:16,           1-07,       1,       -24.742,      -425.213,         20593,      -1,    1,                                      E4,                                    EtOH,                 H2O,     155.02946,         0.607,         2.883,            87,         0.020,         0.013,         14.54,    2086.23480,       0.00014,     -69.10728,      -0.00109,       0.00000,      -0.00001,       6.01450,       1.03544,     -15.69855,     -37.64180,    2881.85942,       0.26898,     -22.41859,     -52.50880,       1.08146,    2099.95094,       3.26698,       0.54979,       0.34849,      10.46762,    2891.21721,      12.17222,  MT1-Rear,       7,      29,  5ulnoRns
    50,    P-1338,   2010/06/05 00:41:33,           1-07,       2,       -24.711,      -425.643,         19424,      -1,    1,                                      E4,                                    EtOH,                 H2O,     155.03592,         0.619,         3.091,            89,        -0.029,        -0.000,         12.03,    2014.66439,       0.00018,     -65.75123,      -0.00109,       0.00000,       0.00000,       5.83584,       1.03259,     -14.90158,     -35.49311,    2718.02789,       0.27161,     -21.45566,     -49.62124,       1.07967,    2027.87096,       3.17516,       0.55482,       0.14465,       9.89074,    2727.04633,      12.53009,  MT1-Rear,       7,      29,  5ulnoRns
    51,    P-1338,   2010/06/05 00:50:52,           1-07,       3,       -24.423,      -425.715,         20346,      -1,    1,                                      E4,                                    EtOH,                 H2O,     155.04236,         0.618,         2.443,            98,         0.006,        -0.080,         16.37,    2072.03415,       0.00015,     -68.57141,      -0.00116,       0.00000,       0.00003,       5.96981,       1.03482,     -13.94185,     -37.25198,    2847.15812,       0.27379,     -20.55349,     -51.96986,       1.08011,    2085.61330,       3.29968,       0.53356,       0.47296,      10.42835,    2856.48859,      13.71090,  MT1-Rear,       7,      29,  5ulnoRns
    52,    P-1338,   2010/06/05 01:00:09,           1-07,       4,       -24.372,      -424.442,         19602,       0,    1,                                      E4,                                    EtOH,                 H2O,     155.04883,         0.787,         4.500,            84,         0.004,         0.005,         12.85,    2025.87214,       0.00021,     -65.43184,      -0.00113,       0.00000,       0.00001,       5.66015,       1.03301,     -13.34803,     -35.81823,    2743.00852,       0.26633,     -19.83397,     -49.87309,       1.07924,    2039.04430,       4.03389,       0.77233,       0.19935,       9.92519,    2752.01092,      11.80741,  MT1-Rear,       7,      29,  5ulnoRns
    53,    P-1338,   2010/06/05 01:09:26,           1-07,       5,       -24.834,      -425.613,         19980,       0,    1,                                      E4,                                    EtOH,                 H2O,     155.05526,         0.671,         3.045,            87,        -0.022,        -0.098,         15.17,    2048.10859,       0.00014,     -66.63544,      -0.00109,       0.00000,       0.00002,       5.18374,       1.03389,     -16.15722,     -36.45654,    2796.26399,       0.26385,     -22.48606,     -51.02634,       1.07411,    2061.58898,       3.53465,       0.58835,       0.32342,      10.21461,    2805.15745,      12.16460,  MT1-Rear,       7,      29,  5ulnoRns
    54,    P-1338,   2010/06/05 01:18:43,           1-07,       6,       -24.651,      -424.455,         19166,       0,    1,                                      E4,                                    EtOH,                 H2O,     155.06176,         0.664,         3.235,            78,        -0.018,         0.147,         10.52,    2000.90946,       0.00000,     -64.69104,      -0.00104,       0.00000,       0.00001,       5.77738,       1.03197,     -15.23046,     -35.05033,    2682.23946,       0.27008,     -20.96699,     -48.77505,       1.07974,    2013.21686,       3.35350,       0.50053,       0.09083,       9.71148,    2690.85529,      10.99927,  MT1-Rear,       7,      29,  5ulnoRns
    55,    P-1338,   2010/06/05 01:28:01,           1-07,       7,       -24.894,      -423.651,         19551,       0,    1,                                      E4,                                    EtOH,                 H2O,     155.06819,         0.782,         3.597,            89,         0.001,         0.049,         11.49,    2021.62471,       0.00014,     -65.50676,      -0.00111,       0.00000,       0.00001,       6.03700,       1.03290,     -15.85516,     -35.71840,    2735.74218,       0.26772,     -22.47727,     -49.61383,       1.08082,    2034.42633,       4.00572,       0.61605,       0.18594,       9.79670,    2744.85978,      12.49419,  MT1-Rear,       7,      29,  5ulnoRns
    56,    P-1338,   2010/06/05 01:37:20,           1-07,       8,       -24.743,      -425.156,         20549,       0,    1,                                      E4,                                    EtOH,                 H2O,     155.07464,         0.494,         3.689,            98,        -0.009,         0.069,         14.22,    2079.58252,       0.00009,     -68.49842,      -0.00119,       0.00000,       0.00003,       5.52811,       1.03530,     -16.23556,     -37.55892,    2875.96782,       0.27585,     -22.40273,     -52.38705,       1.07730,    2093.07345,       2.67154,       0.66540,       0.34545,      10.54358,    2885.01788,      13.74718,  MT1-Rear,       7,      29,  5ulnoRns
    57,    P-1339,   2010/06/05 01:46:37,           1-08,       1,       -25.100,      -409.218,         23047,      -1,    0,                                      E5,                                    EtOH,                 H2O,     155.08112,         0.622,         4.718,           110,        -0.004,        -0.414,         22.82,    1806.06853,       0.00001,     -62.55015,      -0.00131,       0.00000,       0.00003,       6.86499,       1.04149,     -18.95620,     -42.39876,    3226.76308,       0.26940,     -26.12183,     -55.59706,       1.08953,    1817.19131,       3.77170,       1.04655,       0.64514,       9.33882,    3235.79208,      15.47270,  MT1-Rear,       8,      29,  5ulnoRns
    58,    P-1339,   2010/06/05 01:55:56,           1-08,       2,       -24.460,      -407.800,         20271,      -1,    1,                                      E5,                                    EtOH,                 H2O,     155.08760,         0.543,         2.573,            90,        -0.029,        -0.084,         14.83,    1692.92807,       0.00018,     -54.55665,      -0.00100,       0.00000,       0.00000,       5.24779,       1.03461,     -14.28619,     -36.69592,    2838.22062,       0.26494,     -20.71138,     -48.71451,       1.07390,    1703.82415,       2.89920,       0.54420,       0.45456,       8.20425,    2845.98906,      12.67900,  MT1-Rear,       8,      29,  5ulnoRns
    59,    P-1339,   2010/06/05 02:05:13,           1-08,       3,       -23.112,      -403.170,         19249,      -1,    1,                                      E5,                                    EtOH,                 H2O,     155.09403,         0.670,         2.683,            98,        -0.009,         0.050,         12.24,    1620.99615,       0.00022,     -50.51861,      -0.00101,       0.00000,       0.00000,       4.96636,       1.03211,      -7.06082,     -34.39641,    2695.14970,       0.26559,     -13.25357,     -45.52561,       1.07175,    1631.23080,       3.38819,       0.46862,       0.42457,       7.59480,    2702.50422,      13.79886,  MT1-Rear,       8,      29,  5ulnoRns
    60,    P-1339,   2010/06/05 02:14:30,           1-08,       4,       -24.306,      -406.757,         14465,      -1,    0,                                      E5,                                    EtOH,                 H2O,     155.10046,         0.420,         2.107,            71,        -0.005,         0.011,          6.33,    1496.65730,       0.00023,     -38.63529,      -0.00074,       0.00000,       0.00000,       3.82517,       1.02040,     -11.13725,     -26.31352,    2024.97121,       0.26429,     -15.88406,     -34.72104,       1.06029,    1504.73005,       1.60253,       0.30625,       0.22205,       5.82597,    2030.83866,       9.91926,  MT1-Rear,       8,      29,  5ulnoRns
    61,    P-1339,   2010/06/05 02:23:48,           1-08,       5,       -24.327,      -406.810,         14798,      -1,    0,                                      E5,                                    EtOH,                 H2O,     155.10692,         0.496,         1.970,            65,        -0.008,        -0.002,          5.93,    1508.25485,       0.00011,     -39.23847,      -0.00074,       0.00000,      -0.00001,       3.87071,       1.02122,     -11.99879,     -26.98760,    2071.95659,       0.26742,     -16.23081,     -35.52178,       1.06033,    1516.07301,       1.93526,       0.29576,       0.17758,       5.95977,    2077.58563,       9.15753,  MT1-Rear,       8,      29,  5ulnoRns
    62,    P-1339,   2010/06/05 02:33:06,           1-08,       6,       -24.446,      -408.365,         17468,       0,    1,                                      E5,                                    EtOH,                 H2O,     155.11340,         0.522,         1.898,            80,        -0.016,         0.037,          8.18,    1604.28658,       0.00015,     -46.57838,      -0.00089,       0.00000,       0.00000,       4.48194,       1.02774,     -13.59291,     -31.89388,    2445.88991,       0.27505,     -18.76711,     -42.11250,       1.06570,    1613.62220,       2.40705,       0.31831,       0.25713,       7.09843,    2452.48627,      11.21057,  MT1-Rear,       8,      29,  5ulnoRns
    63,    P-1339,   2010/06/05 02:42:23,           1-08,       7,       -24.691,      -409.298,         18237,       0,    1,                                      E5,                                    EtOH,                 H2O,     155.11985,         0.641,         2.553,            76,         0.005,         0.060,          8.44,    1631.75556,       0.00004,     -50.68257,      -0.00100,       0.00000,       0.00001,       5.50711,       1.02969,     -15.01029,     -33.31285,    2553.15431,       0.27025,     -20.47553,     -44.09387,       1.07609,    1641.21123,       3.05829,       0.41422,       0.26385,       7.46630,    2560.36106,      10.61447,  MT1-Rear,       8,      29,  5ulnoRns
    64,    P-1339,   2010/06/05 02:51:41,           1-08,       8,       -24.404,      -409.285,         18817,       0,    1,                                      E5,                                    EtOH,                 H2O,     155.12630,         0.515,         3.190,            83,        -0.009,        -0.068,         10.28,    1653.97043,       0.00001,     -50.92478,      -0.00106,       0.00000,       0.00000,       5.16644,       1.03108,     -14.40369,     -34.53775,    2634.78395,       0.26438,     -19.49477,     -45.48355,       1.07256,    1663.42369,       2.55721,       0.57709,       0.33522,       7.77045,    2641.79572,      11.69792,  MT1-Rear,       8,      29,  5ulnoRns
    65,    P-1340,   2010/06/05 03:00:59,           1-09,       1,       -24.546,      -403.206,         19723,      -1,    1,                                      E6,                                    EtOH,                 H2O,     155.13276,         0.520,         2.578,            84,        -0.003,         0.006,         10.06,    1560.74979,       0.00020,     -48.77662,      -0.00098,       0.00000,       0.00002,       5.06136,       1.03325,     -14.85776,     -35.72598,    2762.04868,       0.26207,     -20.80710,     -46.64321,       1.06953,    1570.65373,       2.68908,       0.47679,       0.23603,       7.40092,    2769.04675,      11.78391,  MT1-Rear,       9,      29,  5ulnoRns
    66,    P-1340,   2010/06/05 03:10:16,           1-09,       2,       -24.967,      -404.020,         20816,      -1,    1,                                      E6,                                    EtOH,                 H2O,     155.13924,         0.656,         2.347,            82,         0.022,        -0.043,         11.34,    1595.48008,       0.00008,     -52.08130,      -0.00109,       0.00000,       0.00001,       5.46811,       1.03596,     -17.84448,     -37.95883,    2915.09425,       0.25984,     -23.79495,     -49.34703,       1.07595,    1605.31171,       3.56933,       0.48282,       0.35972,       7.86523,    2922.46320,      11.45731,  MT1-Rear,       9,      29,  5ulnoRns
    67,    P-1340,   2010/06/05 03:19:34,           1-09,       3,       -24.852,      -402.942,         19787,      -1,    1,                                      E6,                                    EtOH,                 H2O,     155.14564,         0.473,         2.111,            88,        -0.004,         0.050,         11.03,    1561.67150,       0.00010,     -48.64989,      -0.00101,       0.00000,       0.00000,       4.80970,       1.03342,     -16.82187,     -36.02117,    2771.17333,       0.26781,     -22.43594,     -46.74925,       1.07075,    1571.04469,       2.45787,       0.37650,       0.25805,       7.39253,    2778.05230,      12.35601,  MT1-Rear,       9,      29,  5ulnoRns
    68,    P-1340,   2010/06/05 03:28:52,           1-09,       4,       -24.945,      -403.189,         20191,       0,    1,                                      E6,                                    EtOH,                 H2O,     155.15215,         0.641,         2.862,           100,         0.007,        -0.155,         12.84,    1572.87269,       0.00018,     -49.69128,      -0.00107,       0.00000,      -0.00001,       5.06531,       1.03441,     -17.18836,     -36.75706,    2827.63738,       0.26623,     -23.22070,     -47.73946,       1.07177,    1582.67034,       3.39498,       0.62975,       0.35408,       7.58116,    2834.81748,      14.06337,  MT1-Rear,       9,      29,  5ulnoRns
    69,    P-1340,   2010/06/05 03:38:10,           1-09,       5,       -24.892,      -403.045,         20092,       0,    1,                                      E6,                                    EtOH,                 H2O,     155.15855,         0.608,         2.360,            83,         0.008,        -0.010,          9.62,    1569.69392,       0.00022,     -49.49511,      -0.00096,       0.00000,      -0.00002,       5.05606,       1.03415,     -16.60449,     -36.38810,    2813.73066,       0.26758,     -22.86779,     -47.48125,       1.07071,    1579.79622,       3.20688,       0.45664,       0.24286,       7.47042,    2820.87261,      11.64369,  MT1-Rear,       9,      29,  5ulnoRns
    70,    P-1340,   2010/06/05 03:47:29,           1-09,       6,       -24.667,      -402.744,         19651,       0,    1,                                      E6,                                    EtOH,                 H2O,     155.16507,         0.576,         2.582,            88,        -0.007,         0.046,         10.09,    1552.91085,       0.00005,     -48.48105,      -0.00096,       0.00000,      -0.00001,       5.11576,       1.03310,     -15.93560,     -35.73131,    2752.11601,       0.26919,     -21.38262,     -46.39686,       1.07161,    1562.13664,       2.96978,       0.45761,       0.24167,       7.29345,    2758.89395,      12.31166,  MT1-Rear,       9,      29,  5ulnoRns
    71,    P-1340,   2010/06/05 03:56:47,           1-09,       7,       -24.606,      -402.867,         20112,       0,    1,                                      E6,                                    EtOH,                 H2O,     155.17149,         0.604,         1.909,            97,        -0.034,        -0.050,         11.73,    1566.23977,       0.00024,     -49.35267,      -0.00094,       0.00000,       0.00000,       4.92697,       1.03419,     -15.02480,     -36.36515,    2816.46419,       0.26935,     -21.38395,     -47.49709,       1.06962,    1576.45936,       3.21299,       0.44061,       0.22627,       7.46217,    2823.61788,      13.68825,  MT1-Rear,       9,      29,  5ulnoRns
    72,    P-1340,   2010/06/05 04:06:05,           1-09,       8,       -24.788,      -402.712,         20648,       0,    1,                                      E6,                                    EtOH,                 H2O,     155.17797,         0.450,         2.923,            96,        -0.000,         0.046,         15.19,    1582.86116,       0.00031,     -50.09596,      -0.00094,       0.00000,      -0.00001,       4.89223,       1.03548,     -16.00351,     -37.27288,    2891.56911,       0.26868,     -22.70964,     -48.72393,       1.06927,    1593.55708,       2.44607,       0.54503,       0.38971,       7.65219,    2898.87171,      13.41895,  MT1-Rear,       9,      29,  5ulnoRns
    73,    P-1341,   2010/06/05 04:15:24,           1-10,       1,       -24.501,      -378.154,         20455,      -1,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.18443,         0.449,         1.331,           106,        -0.013,        -0.039,          9.16,    1005.41202,       0.00009,     -30.71168,      -0.00087,       0.00000,      -0.00001,       4.91193,       1.03505,     -15.49660,     -36.97075,    2866.85263,       0.27241,     -21.04300,     -44.03345,       1.06911,    1010.86272,       2.43625,       0.37557,       0.31723,       4.47837,    2871.87455,      14.83500,  MT1-Rear,      10,      29,  5ulnoRns
    74,    P-1341,   2010/06/05 04:24:43,           1-10,       2,       -24.802,      -377.644,         20388,      -1,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.19087,         0.490,         1.500,            93,         0.011,        -0.038,          8.72,     997.57331,       0.00023,     -30.17872,      -0.00084,       0.00000,       0.00000,       4.64328,       1.03487,     -16.70275,     -36.71812,    2857.28775,       0.26669,     -22.59945,     -43.80220,       1.06743,    1003.50827,       2.60445,       0.37593,       0.26942,       4.45920,    2862.41536,      13.04463,  MT1-Rear,      10,      29,  5ulnoRns
    75,    P-1341,   2010/06/05 04:34:02,           1-10,       3,       -24.837,      -375.107,         20892,      -1,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.19739,         1.183,        16.066,           108,        -0.040,         0.485,         11.94,    1000.83449,       0.00015,     -27.87513,      -0.00080,       0.00000,       0.00000,       4.71826,       1.03608,     -17.81941,     -37.71351,    2928.58446,       0.26470,     -23.15868,     -44.41963,       1.06510,    1006.11042,       6.58806,       2.77646,       0.46345,       4.64856,    2933.16580,      15.23033,  MT1-Rear,      10,      29,  5ulnoRns
    76,    P-1341,   2010/06/05 04:43:20,           1-10,       4,       -24.756,      -377.666,         20651,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.20383,         0.434,         1.239,            99,        -0.001,        -0.017,          9.84,     998.17807,       0.00028,     -30.55395,      -0.00083,       0.00000,       0.00000,       4.65401,       1.03550,     -16.30382,     -37.07590,    2894.07308,       0.26743,     -22.53447,     -44.36494,       1.06653,    1004.43268,       2.34615,       0.32708,       0.32297,       4.49851,    2899.32328,      13.82991,  MT1-Rear,      10,      29,  5ulnoRns
    77,    P-1341,   2010/06/05 04:52:39,           1-10,       5,       -24.722,      -378.014,         20698,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.21032,         0.524,         1.969,            92,        -0.004,        -0.062,          8.14,    1000.41097,       0.00012,     -29.68197,      -0.00085,       0.00000,       0.00001,       4.49351,       1.03562,     -17.05070,     -37.49238,    2901.20861,       0.26518,     -22.38858,     -44.52685,       1.06594,    1005.90650,       2.86344,       0.44740,       0.34925,       4.50963,    2905.98536,      12.94759,  MT1-Rear,      10,      29,  5ulnoRns
    78,    P-1341,   2010/06/05 05:01:58,           1-10,       6,       -24.807,      -377.188,         20319,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.21677,         0.439,         1.166,            87,         0.002,        -0.010,          8.00,     997.30294,       0.00014,     -28.81946,      -0.00083,       0.00000,       0.00000,       4.19725,       1.03467,     -17.36614,     -36.66669,    2848.06470,       0.26481,     -22.58233,     -43.57644,       1.06307,    1002.81607,       2.33391,       0.29005,       0.27865,       4.41676,    2852.70417,      12.25956,  MT1-Rear,      10,      29,  5ulnoRns
    79,    P-1341,   2010/06/05 05:11:16,           1-10,       7,       -24.726,      -377.620,         20922,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.22321,         0.422,         1.719,            93,        -0.009,        -0.034,          8.99,     998.19513,       0.00023,     -31.26564,      -0.00088,       0.00000,       0.00000,       4.74320,       1.03618,     -16.37053,     -37.60356,    2932.03939,       0.26040,     -22.55728,     -44.93344,       1.06944,    1004.28380,       2.33173,       0.40314,       0.31496,       4.51313,    2937.38672,      13.11058,  MT1-Rear,      10,      29,  5ulnoRns
    80,    P-1341,   2010/06/05 05:20:35,           1-10,       8,       -24.709,      -377.413,         20697,       0,    1,                                     AHB,                  breakroom water bottle,                 H2O,     155.22972,         0.525,         2.144,            90,        -0.003,        -0.059,          7.59,     998.93862,       0.00023,     -30.71332,      -0.00084,       0.00000,       0.00000,       4.78956,       1.03563,     -16.09833,     -37.17910,    2900.46321,       0.26299,     -22.31591,     -44.41813,       1.06860,    1004.96932,       2.85485,       0.47503,       0.29624,       4.43420,    2905.73870,      12.64969,  MT1-Rear,      10,      29,  5ulnoRns
    81,    P-1342,   2010/06/05 05:29:53,           1-11,       1,       -24.685,      -399.497,         18511,      -1,    1,                                     P1A,                              2-propanol,                 H2O,     155.23620,         0.435,         1.559,            84,        -0.007,         0.018,          7.52,    1246.10439,       0.00020,     -44.42033,      -0.00081,       0.00000,       0.00001,       4.36933,       1.03027,     -15.05161,     -33.24499,    2592.48307,       0.26896,     -20.65714,     -43.22114,       1.06499,    1255.24286,       2.12331,       0.29864,       0.19802,       6.68495,    2598.93191,      11.82023,  MT1-Rear,      11,      29,  5ulnoRns
    82,    P-1342,   2010/06/05 05:39:13,           1-11,       2,       -24.854,      -400.060,         20382,      -1,    1,                                     P1A,                              2-propanol,                 H2O,     155.24261,         0.447,         2.306,           117,        -0.007,         0.020,         12.82,    1273.74129,       0.00041,     -49.60307,      -0.00089,       0.00000,       0.00000,       4.79208,       1.03485,     -15.72931,     -36.36604,    2854.08447,       0.26768,     -22.87905,     -47.64654,       1.07066,    1284.58956,       2.41047,       0.46928,       0.30184,       7.36252,    2861.58703,      16.42983,  MT1-Rear,      11,      29,  5ulnoRns
    83,    P-1342,   2010/06/05 05:48:32,           1-11,       3,       -24.905,      -399.882,         19361,      -1,    1,                                     P1A,                              2-propanol,                 H2O,     155.24912,         0.430,         1.766,            96,        -0.017,        -0.007,          9.05,    1259.59289,       0.00027,     -46.67039,      -0.00074,       0.00000,       0.00000,       4.28136,       1.03233,     -16.33672,     -34.56196,    2711.46670,       0.27167,     -22.39141,     -45.25020,       1.06495,    1269.62616,       2.21259,       0.38055,       0.22779,       7.02556,    2718.16848,      13.47089,  MT1-Rear,      11,      29,  5ulnoRns
    84,    P-1342,   2010/06/05 05:57:51,           1-11,       4,       -24.720,      -399.545,         19381,       0,    1,                                     P1A,                              2-propanol,                 H2O,     155.25558,         0.448,         1.407,            96,        -0.019,         0.048,          9.11,    1258.19517,       0.00035,     -46.42310,      -0.00077,       0.00000,      -0.00001,       4.44532,       1.03237,     -15.15572,     -34.52415,    2714.25457,       0.26802,     -21.46834,     -45.24211,       1.06453,    1268.49001,       2.30898,       0.25538,       0.21665,       7.01879,    2721.04758,      13.53793,  MT1-Rear,      11,      29,  5ulnoRns
    85,    P-1342,   2010/06/05 06:07:11,           1-11,       5,       -24.628,      -398.837,         18827,       0,    1,                                     P1A,                              2-propanol,                 H2O,     155.26207,         0.504,         1.601,            94,        -0.005,        -0.017,          8.16,    1248.47482,       0.00035,     -45.34450,      -0.00069,       0.00000,      -0.00001,       4.40471,       1.03101,     -14.22048,     -33.35415,    2636.54417,       0.26077,     -20.60670,     -43.84762,       1.06237,    1258.61822,       2.49804,       0.35378,       0.18378,       6.79848,    2643.27018,      13.14960,  MT1-Rear,      11,      29,  5ulnoRns
    86,    P-1342,   2010/06/05 06:16:31,           1-11,       6,       -24.946,      -399.979,         20179,       0,    1,                                     P1A,                              2-propanol,                 H2O,     155.26858,         0.417,         2.102,            93,        -0.007,         0.006,          8.67,    1271.34359,       0.00032,     -49.16412,      -0.00082,       0.00000,       0.00000,       4.79809,       1.03435,     -16.55093,     -35.94640,    2825.91848,       0.26475,     -23.22466,     -47.16325,       1.06934,    1281.92959,       2.22213,       0.41308,       0.28151,       7.29559,    2833.13661,      13.03393,  MT1-Rear,      11,      29,  5ulnoRns
    87,    P-1342,   2010/06/05 06:25:50,           1-11,       7,       -24.491,      -399.104,         18999,       0,    1,                                     P1A,                              2-propanol,                 H2O,     155.27500,         0.357,         1.534,            98,        -0.004,         0.012,          8.93,    1253.50196,       0.00021,     -44.91962,      -0.00078,       0.00000,       0.00001,       4.23652,       1.03144,     -14.52450,     -33.99441,    2661.01000,       0.26255,     -20.04726,     -44.28649,       1.06310,    1262.96592,       1.79276,       0.32106,       0.23190,       6.86796,    2667.35782,      13.73427,  MT1-Rear,      11,      29,  5ulnoRns
    88,    P-1342,   2010/06/05 06:35:09,           1-11,       8,       -24.801,      -399.840,         19483,       0,    1,                                     P1A,                              2-propanol,                 H2O,     155.28148,         0.466,         1.757,            97,         0.002,        -0.002,          8.59,    1261.08087,       0.00027,     -46.81785,      -0.00083,       0.00000,       0.00000,       4.53780,       1.03264,     -15.80152,     -34.88086,    2728.59418,       0.26493,     -21.95014,     -45.52793,       1.06675,    1271.01748,       2.37986,       0.37748,       0.24602,       7.03109,    2735.41498,      13.55209,  MT1-Rear,      11,      29,  5ulnoRns
    89,    P-1343,   2010/06/05 06:44:28,           1-12,       1,       -24.817,      -399.990,         19050,      -1,    1,                                     P1B,                              2-propanol,                 H2O,     155.28795,         0.402,         1.725,            93,         0.001,        -0.012,          8.51,    1273.41041,       0.00019,     -47.61667,      -0.00083,       0.00000,      -0.00002,       4.77985,       1.03161,     -15.75555,     -33.94708,    2667.61161,       0.26519,     -21.71081,     -44.54662,       1.06911,    1283.08443,       2.01121,       0.37289,       0.22753,       7.03785,    2674.49008,      13.05737,  MT1-Rear,      12,      29,  5ulnoRns
    90,    P-1343,   2010/06/05 06:53:48,           1-12,       2,       -24.836,      -401.649,         19937,      -1,    1,                                     P1B,                              2-propanol,                 H2O,     155.29442,         0.480,         1.684,            96,        -0.004,         0.009,          9.07,    1285.46904,       0.00039,     -49.84255,      -0.00082,       0.00000,       0.00000,       4.62849,       1.03373,     -15.64754,     -35.42035,    2791.77996,       0.26372,     -22.46469,     -46.88294,       1.06661,    1296.56215,       2.52112,       0.35630,       0.22414,       7.48521,    2799.11097,      13.48549,  MT1-Rear,      12,      29,  5ulnoRns
    91,    P-1343,   2010/06/05 07:03:07,           1-12,       3,       -24.774,      -400.856,         19244,      -1,    1,                                     P1B,                              2-propanol,                 H2O,     155.30096,         0.441,         2.245,            94,         0.012,        -0.050,          9.82,    1276.81289,       0.00007,     -47.45715,      -0.00078,       0.00000,       0.00001,       4.52520,       1.03207,     -16.40940,     -34.52791,    2695.26996,       0.26664,     -21.63664,     -45.13810,       1.06684,    1286.17043,       2.21373,       0.46354,       0.26184,       7.17480,    2701.77663,      13.14164,  MT1-Rear,      12,      29,  5ulnoRns
    92,    P-1343,   2010/06/05 07:12:26,           1-12,       4,       -24.765,      -401.333,         19780,       0,    1,                                     P1B,                              2-propanol,                 H2O,     155.30740,         0.494,         1.400,           109,        -0.003,        -0.027,         10.46,    1283.41623,       0.00027,     -49.50399,      -0.00082,       0.00000,       0.00000,       4.84824,       1.03338,     -15.60436,     -35.29970,    2769.87656,       0.26897,     -21.98345,     -46.46429,       1.06921,    1293.85476,       2.56301,       0.38368,       0.24277,       7.38812,    2777.04863,      15.25773,  MT1-Rear,      12,      29,  5ulnoRns
    93,    P-1343,   2010/06/05 07:21:46,           1-12,       5,       -24.629,      -400.963,         18877,       0,    1,                                     P1B,                              2-propanol,                 H2O,     155.31386,         0.478,         2.071,            92,         0.001,         0.030,          8.72,    1269.65633,       0.00039,     -47.04603,      -0.00076,       0.00000,       0.00001,       4.63793,       1.03116,     -14.08798,     -33.55122,    2643.24882,       0.26964,     -20.64671,     -44.30149,       1.06561,    1280.13981,       2.36627,       0.37409,       0.22276,       7.02902,    2650.28012,      12.96768,  MT1-Rear,      12,      29,  5ulnoRns
    94,    P-1343,   2010/06/05 07:31:06,           1-12,       6,       -24.886,      -401.733,         19624,       0,    1,                                     P1B,                              2-propanol,                 H2O,     155.32033,         0.515,         1.625,            96,         0.007,        -0.013,          8.79,    1281.90824,       0.00021,     -48.49264,      -0.00082,       0.00000,      -0.00002,       4.74340,       1.03299,     -16.50484,     -35.16418,    2748.36966,       0.27274,     -22.48963,     -46.16820,       1.06701,    1292.01941,       2.63610,       0.37262,       0.22607,       7.30247,    2755.20750,      13.52773,  MT1-Rear,      12,      29,  5ulnoRns
    95,    P-1343,   2010/06/05 07:40:25,           1-12,       7,       -24.617,      -400.721,         19488,       0,    1,                                     P1B,                              2-propanol,                 H2O,     155.32683,         0.613,         2.968,           105,        -0.002,        -0.035,          9.56,    1279.37858,       0.00035,     -47.93102,      -0.00075,       0.00000,       0.00000,       4.43779,       1.03261,     -14.60551,     -34.53642,    2729.16601,       0.26637,     -21.01600,     -45.68408,       1.06251,    1290.10504,       3.14217,       0.57662,       0.23616,       7.29783,    2736.07661,      14.72519,  MT1-Rear,      12,      29,  5ulnoRns
    96,    P-1343,   2010/06/05 07:49:45,           1-12,       8,       -24.675,      -401.081,         19378,       0,    1,                                     P1B,                              2-propanol,                 H2O,     155.33332,         0.467,         2.280,           105,        -0.004,         0.067,          9.36,    1278.62470,       0.00022,     -47.53865,      -0.00080,       0.00000,       0.00000,       4.29213,       1.03237,     -15.30261,     -34.65574,    2713.83708,       0.27316,     -21.23311,     -45.48529,       1.06517,    1288.62313,       2.38849,       0.38906,       0.22936,       7.17146,    2720.56407,      14.77672,  MT1-Rear,      12,      29,  5ulnoRns
